TeamName,Conference,PlayoffRank,SEASON,W_PCT,PLUS_MINUS,FG_PCT,FG3_PCT,FT_PCT,AST,REB,TOV,STL,BLK,AllStar_count,Finals_Appearances_Last5,ChampionNumber,Label
Magic,East,5,2002,0.537,129.0,0.448,0.373,0.754,1804,3380,1118.0,663,383,1,0,0,0
76ers,East,6,2002,0.524,131.0,0.436,0.299,0.779,1638,3626,1256.0,705,363,2,1,3,0
Trail Blazers,West,6,2002,0.598,245.0,0.45,0.354,0.763,1926,3529,1172.0,702,368,0,0,1,0
SuperSonics,West,7,2002,0.549,248.0,0.469,0.378,0.755,1926,3301,1124.0,698,364,1,0,1,0
Raptors,East,7,2002,0.512,-36.0,0.434,0.349,0.739,1779,3450,1174.0,688,458,0,0,0,0
Pacers,East,8,2002,0.512,22.0,0.446,0.339,0.772,1884,3498,1249.0,658,436,1,1,0,0
Jazz,West,8,2002,0.537,73.0,0.45,0.333,0.763,1999,3458,1353.0,749,523,0,2,0,0
Spurs,West,1,2003,0.732,444.0,0.462,0.354,0.725,1636,3495,1295.0,629,529,1,1,1,1
Pistons,East,1,2003,0.61,302.0,0.43,0.358,0.771,1620,3328,1104.0,556,468,1,0,2,0
Kings,West,2,2003,0.72,533.0,0.464,0.381,0.746,2034,3651,1192.0,736,457,1,0,1,0
Nets,East,2,2003,0.598,428.0,0.441,0.332,0.757,1887,3519,1212.0,717,374,1,1,0,0
Pacers,East,3,2003,0.585,286.0,0.441,0.339,0.766,1910,3626,1210.0,696,443,2,1,0,0
Mavericks,West,3,2003,0.732,638.0,0.453,0.381,0.829,1837,3456,948.0,666,449,2,0,0,0
76ers,East,4,2003,0.585,189.0,0.448,0.311,0.775,1771,3457,1212.0,844,284,1,1,3,0
Timberwolves,West,4,2003,0.622,170.0,0.466,0.368,0.77,2070,3573,1124.0,553,433,1,0,0,0
Hornets,East,5,2003,0.573,173.0,0.435,0.376,0.768,1807,3572,1212.0,656,394,1,0,0,0
Lakers,West,5,2003,0.61,191.0,0.451,0.356,0.734,1909,3632,1192.0,639,470,2,3,14,0
Trail Blazers,West,6,2003,0.61,214.0,0.46,0.33,0.745,1860,3370,1248.0,725,316,0,0,1,0
Celtics,East,6,2003,0.537,-32.0,0.415,0.334,0.742,1575,3320,1147.0,720,303,2,0,16,0
Jazz,West,7,2003,0.573,196.0,0.468,0.349,0.745,2103,3402,1375.0,707,467,0,1,0,0
Bucks,East,7,2003,0.512,19.0,0.457,0.383,0.776,1823,3243,1044.0,622,344,0,0,1,0
Magic,East,8,2003,0.512,11.0,0.436,0.357,0.777,1676,3350,1177.0,696,300,1,0,0,0
Suns,West,8,2003,0.537,93.0,0.443,0.343,0.742,1719,3489,1208.0,665,404,2,0,0,0
Timberwolves,West,1,2004,0.707,450.0,0.462,0.363,0.781,1890,3520,1043.0,561,462,2,0,0,0
Pacers,East,1,2004,0.744,472.0,0.435,0.351,0.764,1774,3417,1182.0,726,411,2,1,0,0
Lakers,West,2,2004,0.683,320.0,0.454,0.327,0.693,1948,3536,1132.0,682,379,2,3,14,0
Nets,East,2,2004,0.573,205.0,0.441,0.336,0.753,2009,3335,1209.0,709,322,2,2,0,0
Spurs,West,3,2004,0.695,592.0,0.442,0.358,0.681,1676,3698,1203.0,661,537,1,2,2,0
Pistons,East,3,2004,0.659,479.0,0.435,0.344,0.753,1702,3506,1241.0,659,570,1,0,2,1
Heat,East,4,2004,0.512,43.0,0.425,0.357,0.762,1565,3399,1137.0,590,313,0,0,0,0
Kings,West,4,2004,0.671,411.0,0.462,0.401,0.795,2152,3380,1137.0,710,325,2,0,1,0
Hornets,East,5,2004,0.5,-11.0,0.42,0.319,0.751,1716,3509,1228.0,708,346,2,0,0,0
Mavericks,West,5,2004,0.634,364.0,0.459,0.348,0.796,1963,3712,1000.0,656,437,1,0,0,0
Bucks,East,6,2004,0.5,87.0,0.447,0.35,0.775,1872,3462,1110.0,554,383,1,0,1,0
Grizzlies,West,6,2004,0.61,200.0,0.445,0.34,0.727,1915,3428,1226.0,795,565,0,0,0,0
Rockets,West,7,2004,0.549,142.0,0.442,0.366,0.773,1579,3494,1373.0,560,443,2,0,2,0
Knicks,East,7,2004,0.476,-121.0,0.442,0.364,0.793,1695,3493,1289.0,608,391,0,1,2,0
Celtics,East,8,2004,0.439,-119.0,0.443,0.346,0.75,1683,3291,1332.0,770,331,1,0,16,0
Nuggets,West,8,2004,0.524,88.0,0.443,0.336,0.767,1794,3470,1278.0,745,520,0,0,0,0
Heat,East,1,2005,0.72,535.0,0.486,0.377,0.672,1791,3526,1127.0,528,474,2,0,0,0
Suns,West,1,2005,0.756,584.0,0.477,0.393,0.748,1927,3619,1125.0,572,453,3,0,0,0
Spurs,West,2,2005,0.72,640.0,0.453,0.363,0.724,1770,3476,1126.0,613,543,2,1,2,1
Pistons,East,2,2005,0.659,317.0,0.444,0.345,0.739,1787,3561,1133.0,576,497,1,1,3,0
Bulls,East,3,2005,0.573,87.0,0.432,0.357,0.75,1743,3592,1371.0,576,369,0,0,6,0
Mavericks,West,3,2005,0.707,471.0,0.457,0.364,0.789,1610,3520,1102.0,708,461,1,0,0,0
Celtics,East,4,2005,0.549,71.0,0.468,0.349,0.764,1810,3347,1297.0,667,423,1,0,16,0
SuperSonics,West,4,2005,0.634,188.0,0.444,0.365,0.79,1487,3352,1113.0,553,338,2,0,1,0
Rockets,West,5,2005,0.622,331.0,0.443,0.364,0.781,1733,3475,1135.0,563,378,2,0,2,0
Wizards,East,5,2005,0.549,-27.0,0.437,0.343,0.725,1563,3507,1172.0,716,347,2,0,1,0
Pacers,East,6,2005,0.537,62.0,0.432,0.344,0.792,1489,3286,1173.0,615,357,1,1,0,0
Kings,West,6,2005,0.61,177.0,0.459,0.374,0.787,2005,3478,1073.0,674,316,0,0,1,0
Nuggets,West,7,2005,0.598,166.0,0.459,0.34,0.763,1958,3440,1224.0,750,489,0,0,0,0
76ers,East,7,2005,0.524,-61.0,0.437,0.348,0.789,1710,3445,1274.0,756,321,1,1,3,0
Nets,East,8,2005,0.512,-123.0,0.429,0.362,0.763,1772,3242,1164.0,650,308,1,2,0,0
Grizzlies,West,8,2005,0.549,188.0,0.447,0.357,0.754,1716,3194,1197.0,699,476,0,0,0,0
Spurs,West,1,2006,0.768,559.0,0.472,0.385,0.702,1717,3399,1126.0,543,467,2,2,3,0
Pistons,East,1,2006,0.78,547.0,0.455,0.384,0.727,1971,3322,931.0,580,490,4,2,3,0
Mavericks,West,2,2006,0.732,498.0,0.462,0.374,0.783,1473,3461,1112.0,593,488,1,0,0,0
Heat,East,2,2006,0.634,317.0,0.478,0.345,0.7,1692,3533,1186.0,522,442,2,0,0,1
Cavaliers,East,3,2006,0.61,183.0,0.454,0.339,0.729,1560,3470,1137.0,567,392,1,0,0,0
Suns,West,3,2006,0.659,455.0,0.479,0.399,0.806,2179,3428,1088.0,549,412,2,0,0,0
Nuggets,West,4,2006,0.537,19.0,0.461,0.325,0.744,1921,3389,1216.0,698,463,0,0,0,0
Nets,East,4,2006,0.598,112.0,0.44,0.33,0.758,1884,3361,1119.0,558,278,1,2,0,0
Wizards,East,5,2006,0.512,152.0,0.447,0.357,0.757,1523,3379,1143.0,658,339,1,0,1,0
Grizzlies,West,5,2006,0.598,303.0,0.448,0.374,0.711,1586,3213,1134.0,600,442,1,0,0,0
Pacers,East,6,2006,0.5,155.0,0.444,0.349,0.737,1631,3457,1254.0,598,409,0,0,0,0
Clippers,West,6,2006,0.573,129.0,0.465,0.344,0.791,1708,3532,1185.0,534,503,1,0,0,0
Lakers,West,7,2006,0.549,205.0,0.453,0.349,0.745,1734,3458,1143.0,628,350,1,3,14,0
Bulls,East,7,2006,0.5,52.0,0.446,0.379,0.738,1804,3508,1224.0,508,345,0,0,6,0
Bucks,East,8,2006,0.488,-85.0,0.453,0.38,0.738,1769,3377,1197.0,597,270,0,0,1,0
Kings,West,8,2006,0.537,126.0,0.454,0.351,0.784,1825,3325,1199.0,608,299,0,0,1,0
Pistons,East,1,2007,0.646,341.0,0.454,0.344,0.774,1768,3322,1001.0,583,472,2,2,3,0
Mavericks,West,1,2007,0.817,592.0,0.467,0.381,0.805,1632,3435,1140.0,560,408,2,1,0,0
Cavaliers,East,2,2007,0.61,314.0,0.447,0.352,0.696,1708,3568,1177.0,625,353,1,0,0,0
Suns,West,2,2007,0.744,599.0,0.494,0.399,0.808,2122,3320,1189.0,553,394,2,0,0,0
Spurs,West,3,2007,0.707,691.0,0.474,0.381,0.751,1814,3338,1137.0,587,417,2,2,3,1
Raptors,East,3,2007,0.573,81.0,0.463,0.363,0.788,1822,3235,1104.0,581,321,1,0,0,0
Jazz,West,4,2007,0.622,235.0,0.474,0.335,0.743,2024,3486,1277.0,577,339,1,0,0,0
Heat,East,4,2007,0.537,-75.0,0.464,0.343,0.69,1681,3343,1201.0,566,442,2,1,1,0
Bulls,East,5,2007,0.598,411.0,0.457,0.388,0.734,1832,3581,1310.0,639,445,0,0,6,0
Rockets,West,5,2007,0.634,398.0,0.445,0.372,0.753,1704,3553,1162.0,583,337,1,0,2,0
Nuggets,West,6,2007,0.549,133.0,0.465,0.336,0.746,1920,3559,1352.0,678,435,1,0,0,0
Nets,East,6,2007,0.5,-63.0,0.457,0.363,0.727,1962,3347,1212.0,499,273,1,2,0,0
Lakers,West,7,2007,0.512,-6.0,0.466,0.353,0.747,1850,3381,1273.0,600,421,1,2,14,0
Wizards,East,7,2007,0.5,-42.0,0.45,0.348,0.765,1660,3377,1133.0,635,375,2,0,1,0
Warriors,West,8,2007,0.512,-28.0,0.463,0.356,0.717,1950,3396,1309.0,750,466,0,0,3,0
Magic,East,8,2007,0.488,64.0,0.472,0.356,0.702,1525,3338,1392.0,565,416,1,0,0,0
Celtics,East,1,2008,0.805,841.0,0.475,0.381,0.771,1833,3445,1246.0,696,379,2,0,16,1
Lakers,West,1,2008,0.695,595.0,0.476,0.378,0.769,2003,3620,1156.0,654,438,1,1,14,0
Pistons,East,2,2008,0.72,606.0,0.458,0.366,0.767,1831,3397,956.0,583,472,3,2,3,0
Hornets,West,2,2008,0.683,433.0,0.466,0.389,0.769,1785,3431,974.0,637,321,2,0,0,0
Spurs,West,3,2008,0.683,393.0,0.457,0.369,0.761,1718,3383,1035.0,521,337,1,3,4,0
Magic,East,3,2008,0.634,448.0,0.474,0.386,0.721,1706,3445,1173.0,520,333,1,0,0,0
Jazz,West,4,2008,0.659,564.0,0.497,0.372,0.759,2165,3352,1200.0,717,355,1,0,0,0
Cavaliers,East,4,2008,0.549,-29.0,0.439,0.358,0.717,1640,3655,1145.0,579,427,1,1,0,0
Rockets,West,5,2008,0.671,384.0,0.448,0.342,0.726,1757,3661,1125.0,598,420,1,0,2,0
Wizards,East,5,2008,0.524,-27.0,0.446,0.356,0.782,1607,3411,1082.0,632,391,1,0,1,0
Raptors,East,6,2008,0.5,238.0,0.468,0.392,0.812,1953,3286,959.0,570,336,1,0,0,0
Suns,West,6,2008,0.671,414.0,0.5,0.393,0.783,2188,3403,1184.0,532,518,2,0,0,0
76ers,East,7,2008,0.488,34.0,0.46,0.317,0.706,1673,3437,1172.0,712,400,0,0,3,0
Mavericks,West,7,2008,0.622,372.0,0.464,0.352,0.814,1720,3526,1037.0,490,402,1,1,0,0
Nuggets,West,8,2008,0.61,304.0,0.47,0.355,0.751,2024,3616,1203.0,752,551,2,0,0,0
Hawks,East,8,2008,0.451,-149.0,0.454,0.356,0.772,1804,3462,1223.0,600,448,1,0,1,0
Lakers,West,1,2009,0.793,628.0,0.474,0.361,0.77,1908,3602,1103.0,718,420,2,2,14,1
Cavaliers,East,1,2009,0.805,732.0,0.468,0.393,0.757,1663,3460,1045.0,593,435,2,1,0,0
Celtics,East,2,2009,0.756,616.0,0.486,0.397,0.765,1862,3455,1280.0,621,387,3,1,17,0
Nuggets,West,2,2009,0.659,280.0,0.47,0.371,0.76,1820,3412,1257.0,710,492,1,0,0,0
Spurs,West,3,2009,0.659,308.0,0.466,0.386,0.761,1736,3366,963.0,474,329,2,2,4,0
Magic,East,3,2009,0.72,549.0,0.457,0.381,0.715,1593,3547,1142.0,570,439,2,0,0,0
Hawks,East,4,2009,0.573,129.0,0.458,0.366,0.737,1657,3282,1048.0,603,376,1,0,1,0
Trail Blazers,West,4,2009,0.659,438.0,0.465,0.383,0.765,1667,3420,1055.0,550,402,1,0,1,0
Rockets,West,5,2009,0.646,328.0,0.453,0.375,0.805,1662,3524,1158.0,548,355,1,0,2,0
Heat,East,5,2009,0.524,21.0,0.457,0.357,0.754,1671,3239,1026.0,651,451,1,1,1,0
76ers,East,6,2009,0.5,6.0,0.459,0.318,0.745,1647,3375,1157.0,658,415,0,0,3,0
Mavericks,West,6,2009,0.61,162.0,0.462,0.35,0.819,1779,3504,1043.0,591,429,1,1,0,0
Bulls,East,7,2009,0.5,-23.0,0.457,0.381,0.796,1732,3451,1192.0,615,453,0,0,6,0
Hornets,West,7,2009,0.598,127.0,0.457,0.364,0.807,1609,3255,1029.0,593,338,2,0,0,0
Jazz,West,8,2009,0.585,217.0,0.475,0.349,0.771,2024,3363,1210.0,719,374,0,0,0,0
Pistons,East,8,2009,0.476,-40.0,0.454,0.349,0.751,1689,3397,973.0,493,377,1,2,3,0
Lakers,West,1,2010,0.695,387.0,0.457,0.341,0.765,1730,3635,1096.0,612,400,1,2,15,1
Cavaliers,East,1,2010,0.744,535.0,0.485,0.381,0.72,1835,3483,1137.0,564,425,1,1,0,0
Mavericks,West,2,2010,0.671,223.0,0.464,0.372,0.816,1917,3420,1059.0,624,449,2,1,0,0
Magic,East,2,2010,0.72,614.0,0.47,0.375,0.724,1615,3546,1155.0,512,456,1,1,0,0
Hawks,East,3,2010,0.646,382.0,0.468,0.36,0.759,1789,3420,980.0,592,413,2,0,1,0
Suns,West,3,2010,0.659,402.0,0.492,0.412,0.77,1912,3526,1210.0,479,418,2,0,0,0
Celtics,East,4,2010,0.61,300.0,0.483,0.348,0.746,1930,3165,1219.0,701,402,3,1,17,0
Nuggets,West,4,2010,0.646,335.0,0.468,0.359,0.772,1719,3394,1136.0,683,417,2,0,0,0
Jazz,West,5,2010,0.646,438.0,0.491,0.364,0.741,2187,3460,1246.0,675,400,1,0,0,0
Heat,East,5,2010,0.573,187.0,0.458,0.346,0.752,1548,3428,1079.0,605,457,1,1,1,0
Bucks,East,6,2010,0.561,139.0,0.436,0.356,0.755,1740,3525,1085.0,580,385,0,0,1,0
Trail Blazers,West,6,2010,0.61,271.0,0.461,0.354,0.79,1674,3296,1012.0,523,350,0,0,1,0
Spurs,West,7,2010,0.61,417.0,0.473,0.358,0.74,1829,3508,1116.0,516,381,1,2,4,0
Bobcats,East,7,2010,0.537,120.0,0.453,0.346,0.751,1658,3348,1290.0,632,446,0,0,0,0
Bulls,East,8,2010,0.5,-134.0,0.451,0.33,0.754,1704,3652,1175.0,531,478,1,0,6,0
Thunder,West,8,2010,0.61,286.0,0.462,0.34,0.805,1639,3567,1227.0,654,481,1,0,1,0
Spurs,West,1,2011,0.744,468.0,0.475,0.397,0.767,1836,3432,1101.0,602,372,2,1,4,0
